name,centerra,centerdec,opposition,visitspath
C1,0.9472650887710541,-0.4731868794091671,41947.25995970474,fieldvisits/C1.visits
C2,0.9472650887710541,-0.5076881602116461,41946.300912393155,fieldvisits/C2.visits
C3,0.9188882167951913,-0.4904375198104066,41944.83240399182,fieldvisits/C3.visits
E1,0.13743449750725018,-0.7506593238912256,42254.95088021093,fieldvisits/E1.visits
E2,0.1658062789394613,-0.767909964292465,42255.59824241051,fieldvisits/E2.visits
S1,0.7473499857039719,0.0,41944.77000727821,fieldvisits/S1.visits
S2,0.7189782042717608,-0.017250640401239508,41942.8176184028,fieldvisits/S2.visits
X1,0.6017146223739135,-0.08603600547706047,41934.72614421967,fieldvisits/X1.visits
X2,0.6224629510775177,-0.11191245089260086,41935.37028955506,fieldvisits/X2.visits
X3,0.6361725123519331,-0.08028514559173915,41936.817394753205,fieldvisits/X3.visits

